#rnd_rate,wrt_rate,io_size,1_iops,device,cpu
0.2,0.6,1,0.0028571429,1,0.050925
0.2,0.8,0.001953125,0.0036429872,0,0.011925
0.2,0.8,0.001953125,6.77541202974E-05,1,0.23685
0.2,0.8,0.00390625,0.0039486673,0,0.012725
0.2,0.8,0.00390625,7.37395151627E-05,1,0.217825
0.2,0.8,0.0078125,0.0020682523,0,0.02135
0.2,0.8,0.0078125,0.0001043052,1,0.180325
0.2,0.8,0.015625,0.0020725389,0,0.022825
0.2,0.8,0.015625,0.0001565496,1,0.133325
0.2,0.8,0.03125,0.0022111664,0,0.022475
0.2,0.8,0.03125,0.0002395783,1,0.117425
0.2,0.8,0.0625,0.0024875622,0,0.02445
0.2,0.8,0.0625,0.0003451251,1,0.1074
0.2,0.8,0.125,0.0027835769,0,0.026875
0.2,0.8,0.125,0.000556483,1,0.0714
0.2,0.8,0.25,0.0035335689,0,0.025025
0.2,0.8,0.25,0.0009180629,1,0.0707
0.2,0.8,0.5,0.0054794521,0,0.021075
0.2,0.8,0.5,0.0015766654,1,0.07485
0.2,0.8,1,0.0103092784,0,0.015125
0.2,0.8,1,0.0027700831,1,0.05265
0.2,1,0.001953125,0.0003171583,0,0.079375
0.2,1,0.001953125,3.3732501265E-05,1,0.3507
0.2,1,0.00390625,0.0006170935,0,0.0542
0.2,1,0.00390625,3.77611418969E-05,1,0.3451
0.2,1,0.0078125,0.0007031113,0,0.04725
0.2,1,0.0078125,4.72238291442E-05,1,0.307975
0.2,1,0.015625,0.0005825808,0,0.069275
0.2,1,0.015625,6.09273137147E-05,1,0.2089
0.2,1,0.03125,0.0009626955,0,0.03745
0.2,1,0.03125,0.0001019654,1,0.19675
0.2,1,0.0625,0.0008080808,0,0.05495
0.2,1,0.0625,0.0001769912,1,0.142975
0.2,1,0.125,0.0012775471,0,0.030975
0.2,1,0.125,0.0003216468,1,0.1088
0.2,1,0.25,0.0012476606,0,0.0354
0.2,1,0.25,0.0005951495,1,0.092225
0.2,1,0.5,0.0030840401,0,0.0326
0.2,1,0.5,0.0011813349,1,0.093275
0.2,1,1,0.0076045627,0,0.01955
0.2,1,1,0.0022484542,1,0.060325
0.4,0,0.001953125,0.0021586616,0,0.02915
0.4,0,0.001953125,0.0001103509,1,0.1254
0.4,0,0.00390625,0.0021516945,0,0.028075
0.4,0,0.00390625,0.0001162419,1,0.134625
0.4,0,0.0078125,0.0021680217,0,0.0226
0.4,0,0.0078125,0.0001256518,1,0.12265
0.4,0,0.015625,0.0021715527,0,0.02265
0.4,0,0.015625,0.0001429899,1,0.114625
0.4,0,0.03125,0.0023337223,0,0.024225
