#rnd_rate,wrt_rate,io_size,1_iops,device,cpu,OLS,MARS
0.2,0,0.25,0.0006372471,1,0.072675,0.1156982339,0.0664281206
0.2,0,0.5,0.0051085568,0,0.01835,-0.0059898054,0.0122634012
0.2,0,0.5,0.0012300123,1,0.0958,0.0982108604,0.0630190821
0.2,0,1,0.0095465394,0,0.0138,-0.0423781103,0.0148572309
0.2,0,1,0.0022075055,1,0.065875,0.0633265292,0.0582887248
0.2,0.2,0.001953125,0.0071301248,0,0.00875,0.0340700874,0.0078899354
0.2,0.2,0.001953125,0.0001108678,1,0.16695,0.1396357478,0.1686565421
0.2,0.2,0.00390625,0.0062893082,0,0.009575,0.0343009098,0.0083806329
0.2,0.2,0.00390625,0.0001134333,1,0.159425,0.1395000253,0.1656892756
0.2,0.2,0.0078125,0.0029282577,0,0.015125,0.0354924512,0.0188254791
0.2,0.2,0.0078125,0.0001418339,1,0.153525,0.1392184672,0.1512444078
0.2,0.2,0.015625,0.0029368576,0,0.0163,0.0349502839,0.0188185376
0.2,0.2,0.015625,0.0001864715,1,0.1334,0.1386606375,0.1317636113
0.2,0.2,0.03125,0.0032733224,0,0.01575,0.0337271926,0.0156007269
0.2,0.2,0.03125,0.0002474329,1,0.097725,0.1375572835,0.1082767636
0.2,0.2,0.0625,0.0034453058,0,0.0175,0.0314987276,0.0141922627
0.2,0.2,0.0625,0.0003784295,1,0.097675,0.1353466319,0.0941620043
0.2,0.2,0.125,0.0029739777,0,0.02295,0.0273961354,0.0195570783
0.2,0.2,0.125,0.0005326941,1,0.064325,0.130972149,0.0778012048
0.2,0.2,0.25,0.0039800995,0,0.0194,0.0183439868,0.0121736593
0.2,0.2,0.25,0.0008012821,1,0.06095,0.1222405422,0.0665998493
0.2,0.2,0.5,0.0062111801,0,0.0199,0.0001445802,0.0134638041
0.2,0.2,0.5,0.001459854,1,0.072125,0.1047245683,0.0625304189
0.2,0.2,1,0.00968523,0,0.014975,-0.0358247871,0.0165974362
0.2,0.2,1,0.0025380711,1,0.059225,0.0697964611,0.0567892658
0.2,0.4,0.001953125,0.0093457944,0,0.006375,0.0397207286,0.0084670324
0.2,0.4,0.001953125,0.0001044714,1,0.184775,0.1462521277,0.1779219547
0.2,0.4,0.00390625,0.0093023256,0,0.00645,0.0396050133,0.0085112151
0.2,0.4,0.00390625,0.0001112038,1,0.18325,0.1461145943,0.170103084
0.2,0.4,0.0078125,0.008492569,0,0.0064,0.0396877292,0.0090043593
0.2,0.4,0.0078125,0.0001432049,1,0.1523,0.1458314714,0.1524615025
0.2,0.4,0.015625,0.0087527352,0,0.006475,0.0390362279,0.0089380271
0.2,0.4,0.015625,0.0001988269,1,0.111425,0.1452688676,0.1281673431
0.2,0.4,0.03125,0.0099750623,0,0.005825,0.0374281293,0.0084122458
0.2,0.4,0.03125,0.0002912056,1,0.102025,0.1441518593,0.1052720949
0.2,0.4,0.0625,0.0103092784,0,0.006225,0.0351291559,0.0085425286
0.2,0.4,0.0625,0.0004247186,1,0.0918,0.141940114,0.0908800981
0.2,0.4,0.125,0.0103092784,0,0.006925,0.0308217184,0.0091774161
0.2,0.4,0.125,0.0006495615,1,0.077,0.1375349569,0.0686705102
0.2,0.4,0.25,0.0071556351,0,0.0124,0.0235774578,0.0122132314
0.2,0.4,0.25,0.000976801,1,0.055125,0.1287778594,0.0666563328
0.2,0.4,0.5,0.0066777963,0,0.0204,0.0065553827,0.0150203711
0.2,0.4,0.5,0.0015810277,1,0.07305,0.1112855046,0.0631322746
0.2,0.4,1,0.0101010101,0,0.013175,-0.0293918905,0.0181824713
0.2,0.4,1,0.0027548209,1,0.0565,0.0763158588,0.0564319835
0.2,0.6,0.001953125,0.0059790732,0,0.009525,0.0477975494,0.0121702682
0.2,0.6,0.001953125,8.94914647515E-05,1,0.202075,0.1528722382,0.1971813153
0.2,0.6,0.00390625,0.0059701493,0,0.009925,0.0476668205,0.0121951059
0.2,0.6,0.00390625,9.7761266986E-05,1,0.20035,0.1527340366,0.1875724154
0.2,0.6,0.0078125,0.0026863667,0,0.01875,0.0488247802,0.0248886767
0.2,0.6,0.0078125,0.0001341742,1,0.17475,0.1524489963,0.158236651
0.2,0.6,0.015625,0.002994012,0,0.0174,0.0481526439,0.0218807187
0.2,0.6,0.015625,0.0001897263,1,0.128575,0.1518864229,0.1339730924
0.2,0.6,0.03125,0.0032232071,0,0.017525,0.0469761733,0.0197393943
0.2,0.6,0.03125,0.0002911632,1,0.1053,0.1507654777,0.1070946375
0.2,0.6,0.0625,0.0034812881,0,0.019625,0.0447102892,0.0174669128
0.2,0.6,0.0625,0.0004165799,1,0.0936,0.1485572513,0.0935946344
0.2,0.6,0.125,0.0038350911,0,0.0216,0.0402490843,0.014620833
0.2,0.6,0.125,0.0005853944,1,0.08,0.1441764448,0.0756308335
0.2,0.6,0.25,0.0030280091,0,0.021025,0.0319849777,0.023920375
0.2,0.6,0.25,0.0009576251,1,0.063975,0.1353997935,0.0686666409
0.2,0.6,0.5,0.0051880674,0,0.0205,0.0138164382,0.0176724912
0.2,0.6,0.5,0.0016187778,1,0.074325,0.1178826979,0.0645713117
0.2,0.6,1,0.010989011,0,0.01475,-0.0231642272,0.0195030628
0.2,0.6,1,0.0028571429,1,0.050925,0.0828849884,0.0572230223
0.2,0.8,0.001953125,0.0036429872,0,0.011925,0.0554264427,0.0170470346
0.2,0.8,0.001953125,6.77541202974E-05,1,0.23685,0.1594952855,0.2351100737
0.2,0.8,0.00390625,0.0039486673,0,0.012725,0.0551589828,0.0151450078
0.2,0.8,0.00390625,7.37395151627E-05,1,0.217825,0.1593580768,0.2173594213
0.2,0.8,0.0078125,0.0020682523,0,0.02135,0.0557070207,0.0329095241
0.2,0.8,0.0078125,0.0001043052,1,0.180325,0.1590755777,0.1818107044
0.2,0.8,0.015625,0.0020725389,0,0.022825,0.0551667281,0.0329458683
0.2,0.8,0.015625,0.0001565496,1,0.133325,0.1585144419,0.1503289604
0.2,0.8,0.03125,0.0022111664,0,0.022475,0.0540296194,0.0317134186
0.2,0.8,0.03125,0.0002395783,1,0.117425,0.1574014972,0.1145957327
0.2,0.8,0.0625,0.0024875622,0,0.02445,0.0517557754,0.029257142
0.2,0.8,0.0625,0.0003451251,1,0.1074,0.1552019064,0.1032848444
0.2,0.8,0.125,0.0027835769,0,0.026875,0.0473196861,0.0269214272
0.2,0.8,0.125,0.000556483,1,0.0714,0.15080261,0.0806339395
0.2,0.8,0.25,0.0035335689,0,0.025025,0.0383788548,0.0206647924
0.2,0.8,0.25,0.0009180629,1,0.0707,0.1420305877,0.0708815323
0.2,0.8,0.5,0.0054794521,0,0.021075,0.0203033987,0.0193271878
0.2,0.8,0.5,0.0015766654,1,0.07485,0.1245146005,0.0668117958
0.2,0.8,1,0.0103092784,0,0.015125,-0.0162552066,0.0217015851
0.2,0.8,1,0.0027700831,1,0.05265,0.0895364257,0.0599145668
0.2,1,0.001953125,0.0003171583,0,0.079375,0.0634854913,0.0835995414
0.2,1,0.001953125,3.3732501265E-05,1,0.3507,0.1661236718,0.3655720334
0.2,1,0.00390625,0.0006170935,0,0.0542,0.0632205281,0.0505748218
0.2,1,0.00390625,3.77611418969E-05,1,0.3451,0.1659873135,0.3503585951
0.2,1,0.0078125,0.0007031113,0,0.04725,0.0629139288,0.0484270235
0.2,1,0.0078125,4.72238291442E-05,1,0.307975,0.165713986,0.3146175337
0.2,1,0.015625,0.0005825808,0,0.069275,0.0624278832,0.0544962026
0.2,1,0.015625,6.09273137147E-05,1,0.2089,0.1651696006,0.2628806578
0.2,1,0.03125,0.0009626955,0,0.03745,0.061185821,0.046060095
