#seq;rnd_rate;wrt_rate;io_size;sys_cpu;usr_cpu;cpu_ctx;cpu_minf;cpu_majf;r_io_bytes;r_bw;r_bw_min;r_bw_max;r_bw_mean;r_bw_dev;r_iops;r_runtime;r_min_lat;r_max_lat;r_mean_lat;r_stddev_lat;w_io_bytes;w_bw;w_bw_min;w_bw_max;w_bw_mean;w_bw_dev;w_iops;w_runtime;w_min_lat;w_max_lat;w_mean_lat;w_stddev_lat
2;0;40;512;1.86;0.17;403;6;0;126976;53598;43743;69354;55439.25;11666.64;104;2369;1326;47661;8373.17;6754.74;77824;32850;21165;47936;33491.25;12522.07;64;2369;1274;2932;1904.67;380.69
3;0;40;512;1.87;0.51;402;7;0;126976;53849;42338;69680;55292.5;12716.52;105;2358;1351;55991;8322.24;6986.22;77824;33004;22349;48473;33343.25;11447.27;64;2358;1247;2935;1916.65;388.34
4;0;40;512;1.52;0.34;403;6;0;126976;53757;43253;69270;55778.75;12564.39;104;2362;1331;39339;8341.38;6546.17;77824;32948;22528;48188;33648.5;10988.69;64;2362;1238;3424;1909.9;401.09
1;0;40;1024;0.83;1.04;204;6;0;133120;69261;55075;73712;67261.66;10560.0;67;1922;7522;64302;12654.84;8875.76;71680;37294;26360;53789;39635.0;13735.61;36;1922;2471;6567;3925.29;1086.78
2;0;40;1024;0.83;0.83;202;6;0;133120;69045;54640;74000;65210.0;9801.97;67;1928;7522;64322;12673.96;9107.85;71680;37178;26796;54000;39074.0;13793.96;36;1928;2531;9653;3978.51;1250.69
3;0;40;1024;1.65;0.21;203;7;0;133120;68689;54748;73712;65150.0;9614.96;67;1938;6740;56013;12742.46;8771.25;71680;36986;26796;53789;39028.0;13673.05;36;1938;2432;9637;4000.1;1300.11
4;0;40;1024;1.24;0.41;203;6;0;133120;68974;55075;73712;65469.67;9503.1;67;1930;6719;64325;12674.55;8899.48;71680;37139;25116;53789;39220.33;14342.14;36;1930;2520;9633;4007.77;1287.93
1;0;60;2;2.46;0.62;102423;7;0;82360;1015;436;2074;1015.61;264.76;507;81131;43;219163;1468.0;6975.56;122440;1509;662;3239;1509.94;389.58;754;81131;85;163382;331.94;2124.27
2;0;60;2;2.41;0.66;102430;8;0;82360;1017;445;1930;1017.62;245.56;508;80925;49;155183;1454.29;6779.23;122440;1513;835;2809;1513.8;348.46;756;80925;94;148634;337.71;2210.59
3;0;60;2;2.48;0.72;102426;7;0;82360;1033;404;2132;1032.95;257.55;516;79697;48;204609;1427.44;6825.59;122440;1536;620;3268;1537.08;380.43;768;79697;81;144536;335.78;1975.16
4;0;60;2;2.42;0.76;102423;7;0;82360;1016;499;1917;1014.91;237.11;508;81030;46;212263;1471.04;7040.65;122440;1511;697;2598;1509.82;341.95;755;81030;59;161616;328.24;2021.39
1;0;60;4;0.71;0.16;51252;7;0;82388;337;9;3041;342.23;614.08;84;244447;54;1199052;11072.77;17215.8;122412;500;15;4342;508.72;913.21;125;244447;103;179338;526.57;4727.25
2;0;60;4;0.65;0.19;51252;7;0;82388;336;8;3264;340.28;616.8;84;244971;40;892066;11122.31;16534.67;122412;499;4;4792;505.91;920.46;124;244971;110;171497;510.57;4566.53
3;0;60;4;0.66;0.18;51256;7;0;82388;335;62;3144;337.05;614.3;83;245692;52;180836;11183.58;15394.38;122412;498;32;4856;500.98;914.04;124;245692;102;172579;492.8;4432.54
4;0;60;4;0.67;0.2;51253;8;0;82388;337;71;3024;338.35;607.45;84;243815;53;191697;11115.64;15550.13;122412;502;60;4496;502.83;902.66;125;243815;114;179392;477.17;4148.45
1;0;60;8;0.69;0.17;25635;7;0;82464;691;128;3616;698.1;923.83;86;119172;63;310570;10753.56;15073.18;122336;1026;108;5444;1034.51;1336.09;128;119172;128;234733;536.08;5233.22
2;0;60;8;0.66;0.2;25641;7;0;82464;676;157;3624;682.86;896.17;84;121830;57;236681;10894.45;14753.12;122336;1004;154;5493;1013.53;1297.51;125;121830;121;268593;614.85;6244.71
3;0;60;8;0.71;0.14;25634;8;0;82464;673;127;3528;677.63;890.14;84;122438;62;259720;11039.77;15475.07;122336;999;95;5307;1006.54;1296.13;124;122438;127;232348;556.61;5322.71
4;0;60;8;0.71;0.16;25636;8;0;82464;683;110;3696;680.22;925.11;85;120713;47;360238;10855.79;15492.85;122336;1013;125;5860;1010.48;1345.22;126;120713;112;262084;567.83;5723.43
1;0;60;16;1.06;0.21;12812;8;0;81888;1660;349;4736;1665.28;1381.15;103;49330;76;302163;8624.37;13128.08;122912;2491;411;7142;2499.01;2040.65;155;49330;145;255949;666.66;6350.88
2;0;60;16;0.98;0.22;12820;8;0;81888;1664;243;5120;1680.31;1420.67;104;49197;78;332445;8681.32;14482.85;122912;2498;251;7264;2528.06;2113.73;156;49197;135;322369;611.35;6134.24
3;0;60;16;0.95;0.27;12818;8;0;81888;1669;159;4525;1674.74;1408.53;104;49052;75;362208;8544.51;13928.4;122912;2505;125;6944;2517.43;2107.71;156;49052;144;334324;683.45;7724.72
4;0;60;16;0.9;0.29;12818;7;0;81888;1630;239;5617;1642.7;1368.21;101;50223;77;295248;8802.9;13887.92;122912;2447;216;7475;2470.32;2053.41;152;50223;146;302989;663.62;6910.25
1;0;60;32;1.47;0.42;6407;8;0;82048;4123;61;6513;4174.26;1806.65;128;19896;109;402827;6413.91;10604.62;122752;6169;246;10582;6208.76;2671.49;192;19896;185;502697;889.6;9687.43
2;0;60;32;1.21;0.49;6409;7;0;82048;3887;611;6272;3926.7;1722.88;121;21104;110;386741;6926.9;12481.29;122752;5816;856;9152;5901.23;2570.11;181;21104;180;404849;861.35;8772.73
3;0;60;32;1.36;0.37;6412;7;0;82048;3998;501;6464;4094.97;1625.06;124;20522;107;58203;6286.53;7237.52;122752;5981;501;10071;6123.95;2451.64;186;20522;177;497334;1137.74;13199.25
4;0;60;32;1.39;0.35;6409;7;0;82048;4009;499;6323;4061.42;1639.21;125;20462;109;494052;6746.63;16166.61;122752;5999;436;9664;6054.21;2298.66;187;20462;183;270672;814.49;6439.12
1;0;60;64;1.73;0.58;3207;7;0;84288;8700;755;12288;8727.37;2314.75;135;9688;174;482649;6151.98;14164.13;120512;12439;1259;15714;12441.32;3110.05;194;9688;261;54480;830.46;1361.51
2;0;60;64;1.67;0.24;3204;7;0;84288;8601;4055;11264;8852.56;1703.21;134;9799;170;37214;5920.72;5507.55;120512;12298;6461;15968;12625.44;2476.5;192;9799;258;437088;1051.57;10124.53
3;0;60;64;2.27;0.35;3204;7;0;84288;9187;1920;12160;9216.56;2096.58;143;9174;172;35129;5423.7;4730.45;120512;13136;3328;17015;13109.28;2777.39;205;9174;261;403842;1067.25;9412.31
4;0;60;64;2.04;0.27;3207;7;0;84288;9365;5026;12621;9588.35;1712.88;146;9000;200;78060;5272.41;4764.83;120512;13390;7858;18231;13645.24;2548.67;209;9000;257;407455;1080.9;9853.9
1;0;60;128;2.0;0.52;1606;7;0;86656;13999;228;24174;14115.5;5944.6;109;6190;381;159172;7298.42;8342.08;118144;19086;456;29773;19072.5;7689.79;149;6190;407;492218;1340.93;16178.62
2;0;60;128;1.31;0.39;1603;7;0;86656;14198;5888;24832;14617.36;4629.32;110;6103;405;242560;7157.54;10756.08;118144;19358;7438;30208;19858.36;6185.33;151;6103;408;465865;1350.64;15400.72
3;0;60;128;2.02;0.2;1605;7;0;86656;14613;6997;24526;15161.73;4378.83;114;5930;367;25945;6812.37;4337.45;118144;19923;9913;30147;20574.09;5306.66;155;5930;409;403754;1415.8;13892.97
4;0;60;128;1.95;0.27;1607;7;0;86656;14573;6542;24790;15161.73;4514.48;113;5946;380;418253;7532.69;16483.97;118144;19869;8675;30102;20697.36;5672.07;155;5946;407;70997;904.62;2382.93
1;0;60;256;2.22;0.23;802;6;0;89088;25973;20743;38400;26486.33;6107.32;101;3430;646;210202;8449.32;12059.09;115712;33735;26412;49152;34263.5;7822.98;131;3430;737;1895;1070.24;275.73
2;0;60;256;1.86;0.46;804;7;0;89088;25875;20317;37587;26263.83;5996.28;101;3443;637;43541;8488.52;5933.22;115712;33607;29170;48761;33965.17;7555.58;131;3443;767;2184;1068.79;273.6
3;0;60;256;2.22;0.59;804;6;0;89088;26056;19961;37145;26538.17;5762.52;101;3419;658;35224;8405.76;5962.69;115712;33843;28279;48188;34330.33;7357.96;132;3419;732;2179;1079.85;273.12
4;0;60;256;1.76;0.94;804;6;0;89088;26148;20540;37888;26687.17;6141.76;102;3407;656;35196;8381.62;5708.38;115712;33963;29009;49152;34557.0;7455.57;132;3407;759;2171;1071.81;273.29
1;0;60;512;1.65;0.5;403;6;0;89088;36843;29636;42338;37632.25;5948.34;71;2418;1351;47682;11592.45;9898.26;115712;47854;37587;64984;46612.75;12525.55;93;2418;1247;4908;1759.96;495.59
2;0;60;512;1.47;0.81;403;6;0;89088;36273;28664;42666;36698.25;6103.9;70;2456;1214;62076;11796.45;10045.11;115712;47114;36015;65488;45638.0;13786.23;92;2456;1259;5488;1771.08;532.47
3;0;60;512;1.97;0.33;404;6;0;89088;36616;28557;43168;37553.5;6645.14;71;2433;1204;54328;11687.77;10271.61;115712;47559;37587;66258;46401.0;13424.07;92;2433;1267;5207;1751.66;471.43
4;0;60;512;1.67;0.5;405;6;0;89088;37104;30640;42338;37901.5;5497.27;72;2401;3690;54309;11498.08;9553.31;115712;48193;37662;64984;46765.0;12472.13;94;2401;1241;4900;1758.84;491.03
1;0;60;1024;0.8;0.6;202;8;0;89088;44588;32356;54640;45730.67;11794.01;43;1998;7610;88346;17492.88;16053.22;115712;57913;44172;70830;58636.33;13473.28;56;1998;2378;47564;4201.69;4733.39
2;0;60;1024;0.98;0.39;202;7;0;89088;43649;29941;53035;43677.5;10122.99;42;2041;7583;71425;18331.57;16036.71;115712;56693;48665;71394;55776.25;10675.63;55;2041;2507;46899;3929.83;4332.59
3;0;60;1024;1.0;0.6;202;7;0;89088;44432;28672;54748;46020.0;15023.91;43;2005;7600;71401;17915.33;15864.31;115712;57711;42498;70970;58302.67;14492.96;56;2005;2363;46923;3928.86;4334.93
4;0;60;1024;1.2;0.4;203;7;0;89088;44432;30415;53894;45852.33;13373.02;43;2005;7596;71474;17918.05;15601.55;115712;57711;45056;69863;59259.33;12789.25;56;2005;2481;46771;3929.58;4319.23
1;0;80;2;2.1;0.56;102426;7;0;41204;425;152;776;426.79;100.48;212;96889;50;171946;3611.96;10416.9;163596;1688;588;2776;1695.91;337.68;844;96889;50;300632;270.29;2655.77
2;0;80;2;2.0;0.59;102430;7;0;41204;424;86;912;426.29;114.0;212;96966;50;199606;3603.08;10503.69;163596;1687;440;3428;1693.56;417.42;843;96966;50;386252;273.62;2792.65
3;0;80;2;2.09;0.57;102425;7;0;41204;426;200;872;427.8;111.25;213;96607;51;270394;3649.95;10948.89;163596;1693;768;3136;1699.78;398.68;846;96607;51;216203;257.31;1972.61
4;0;80;2;2.05;0.58;102431;7;0;41204;419;163;658;418.94;87.92;209;98116;48;256518;3706.4;10913.28;163596;1667;906;2656;1667.38;341.11;833;98116;37;262105;261.55;2315.45
1;0;80;4;0.97;0.28;51238;7;0;41168;264;59;1421;264.36;251.46;66;155769;57;690206;13425.02;17203.76;163632;1050;200;5381;1053.54;985.1;262;155769;55;251875;424.24;4815.78
2;0;80;4;0.97;0.28;51238;7;0;41168;266;56;1344;266.56;255.17;66;154718;57;199292;13320.67;15691.46;163632;1057;152;5536;1061.64;1009.02;264;154718;55;212787;424.79;4901.96
3;0;80;4;0.97;0.27;51241;7;0;41168;266;60;1453;265.99;250.25;66;154643;55;197537;13366.93;15801.7;163632;1058;215;5357;1060.01;990.69;264;154643;52;224389;411.33;4567.83
4;0;80;4;0.98;0.26;51238;7;0;41168;265;55;1368;267.4;256.94;66;154821;49;441411;13377.29;16369.87;163632;1056;127;5437;1065.08;1017.62;264;154821;53;237257;413.04;4540.51
1;0;80;8;1.24;0.27;25624;8;0;41120;616;175;2115;614.55;447.99;77;66678;63;316778;11210.66;13378.1;163680;2454;239;7937;2447.98;1826.98;306;66678;63;281596;436.74;5125.88
2;0;80;8;1.12;0.31;25631;8;0;41120;607;93;2208;608.17;447.72;75;67681;62;278940;11567.34;14431.19;163680;2418;217;8412;2417.95;1797.38;302;67681;63;276977;396.22;3943.6
3;0;80;8;1.18;0.26;25628;7;0;41120;606;162;2071;609.15;431.53;75;67793;63;437654;11422.72;15767.18;163680;2414;603;7781;2422.93;1738.23;301;67793;60;280132;438.06;4909.13
4;0;80;8;1.11;0.32;25623;7;0;41120;605;110;1988;605.53;422.95;75;67875;60;281558;11451.67;13911.32;163680;2411;414;7762;2408.2;1701.68;301;67875;63;246973;434.83;5231.77
1;0;80;16;1.81;0.53;12810;7;0;41440;1838;154;2682;1848.02;655.75;114;22539;81;422298;6610.02;11989.41;163360;7247;557;10488;7309.95;2509.27;452;22539;78;439990;524.68;7105.03
2;0;80;16;1.9;0.47;12811;7;0;41440;1860;619;2868;1887.55;633.94;116;22276;79;381605;6539.28;9844.36;163360;7333;1784;10752;7485.83;2423.75;458;22276;79;406929;516.92;7056.04
3;0;80;16;2.08;0.34;12813;8;0;41440;1871;382;2880;1874.63;640.71;116;22141;76;382716;6691.09;11318.01;163360;7378;1895;11446;7411.37;2482.72;461;22141;79;332004;465.07;4666.35
4;0;80;16;1.85;0.38;12810;7;0;41440;1789;380;2848;1843.7;631.71;111;23151;76;320467;6818.34;9502.99;163360;7056;61;10845;7112.05;2623.05;441;23151;80;474163;531.77;7392.09
1;0;80;32;2.46;0.53;6405;7;0;41184;3416;565;4398;3466.13;870.57;106;12053;107;33132;6615.71;4424.87;163616;13574;1320;19263;13750.61;3831.55;424;12053;112;498401;685.41;9200.74
