#rnd_rate;wrt_rate;io_size;ssd_iops;ssd_tot_cpu;hdd_iops;hdd_tot_cpu
0.4;0.0;0.0078125;0.00012565181881;0.12265;0.00216802168022;0.0226
0.4;0.0;0.015625;0.000142989919211;0.114625;0.00217155266015;0.02265
0.4;0.0;0.03125;0.000187961092054;0.125825;0.00233372228705;0.024225
0.4;0.0;0.0625;0.000259925921112;0.111725;0.00251889168766;0.026125
0.4;0.0;0.125;0.000372162262747;0.06795;0.00302114803625;0.024625
0.4;0.0;0.25;0.000636334712059;0.062925;0.00417101147028;0.02405
0.4;0.0;0.5;0.0012353304509;0.08515;0.00595238095238;0.0173
0.4;0.0;1.0;0.00220385674931;0.059175;0.00973236009732;0.01395
0.4;0.2;0.001953125;0.000109553023663;0.1531;0.00909090909091;0.006775
0.4;0.2;0.00390625;0.000120293516179;0.171825;0.00990099009901;0.0063
0.4;0.2;0.0078125;0.00014380729822;0.158725;0.0102301790281;0.005325
0.4;0.2;0.015625;0.000190168298945;0.1389;0.0117302052786;0.004725
0.4;0.2;0.03125;0.000261335424017;0.105525;0.0140845070423;0.004175
0.4;0.2;0.0625;0.000367309458219;0.1056;0.0162601626016;0.003775
0.4;0.2;0.125;0.000501127536958;0.078675;0.0176211453744;0.003925
0.4;0.2;0.25;0.000845308537616;0.06075;0.018018018018;0.004975
0.4;0.2;0.5;0.00145772594752;0.0756;0.0181818181818;0.0039
0.4;0.2;1.0;0.00250941028858;0.060025;0.00992555831266;0.01435
0.4;0.4;0.001953125;0.00010503098414;0.181725;0.00683760683761;0.0099
0.4;0.4;0.00390625;0.000108310091793;0.1742;0.00650406504065;0.009525
0.4;0.4;0.0078125;0.00013886478042;0.151775;0.00394088669951;0.01465
0.4;0.4;0.015625;0.000202367702115;0.117675;0.00406504065041;0.0146
0.4;0.4;0.03125;0.000296406076325;0.11635;0.00420609884332;0.01445
0.4;0.4;0.0625;0.000423504499735;0.084875;0.0042194092827;0.01695
0.4;0.4;0.125;0.000619770684847;0.07265;0.00452488687783;0.017775
0.4;0.4;0.25;0.000913033553983;0.060425;0.00508905852417;0.01875
0.4;0.4;0.5;0.00158793171894;0.06945;0.00574712643678;0.007525
0.4;0.4;1.0;0.00276434001382;0.05455;0.00826446280992;0.012225
0.4;0.6;0.001953125;9.2368086826e-05;0.208475;0.00869565217391;0.00625
0.4;0.6;0.00390625;9.83888820563e-05;0.20735;0.00649350649351;0.008425
0.4;0.6;0.0078125;0.000128514056225;0.1547;0.00550206327373;0.00935
0.4;0.6;0.015625;0.000198333994447;0.1216;0.00568181818182;0.0101
0.4;0.6;0.03125;0.00030238887209;0.091425;0.00567375886525;0.01055
0.4;0.6;0.0625;0.000390586856752;0.074675;0.00523560209424;0.012475
0.4;0.6;0.125;0.000590318772137;0.0784;0.00436205016358;0.019425
0.4;0.6;0.25;0.000922934933087;0.062275;0.00453001132503;0.02245
0.4;0.6;0.5;0.00164271047228;0.0656;0.00625;0.018975
0.4;0.6;1.0;0.0028129395218;0.05005;0.0103626943005;0.015625
0.4;0.8;0.001953125;7.1734724987e-05;0.2432;0.00666666666667;0.0066
0.4;0.8;0.00390625;7.54973387188e-05;0.2379;0.00394088669951;0.0116
0.4;0.8;0.0078125;0.000103396577573;0.1818;0.00330851943755;0.01355
0.4;0.8;0.015625;0.000162760416667;0.144925;0.00321027287319;0.014475
0.4;0.8;0.03125;0.000246199298332;0.113025;0.00287356321839;0.018225
0.4;0.8;0.0625;0.000343288705802;0.119725;0.00297176820208;0.0214
0.4;0.8;0.125;0.000538793103448;0.0692;0.00345423143351;0.022025
0.4;0.8;0.25;0.000897062121552;0.0641;0.00227014755959;0.023075
0.4;0.8;0.5;0.00158290463;0.06635;0.00329218106996;0.0208
0.4;0.8;1.0;0.00275862068966;0.045425;0.00792079207921;0.013775
0.4;1.0;0.001953125;3.58599668295e-05;0.364025;0.00353045013239;0.011125
0.4;1.0;0.00390625;3.9022486708e-05;0.35305;0.00134408602151;0.02985
0.4;1.0;0.0078125;4.87662147664e-05;0.31495;0.00135639199729;0.031125
0.4;1.0;0.015625;6.62635633231e-05;0.246325;0.0014450867052;0.030125
0.4;1.0;0.03125;0.000105493578078;0.201675;0.0012213740458;0.049575
