#seq;rnd_rate;wrt_rate;io_size;sys_cpu;usr_cpu;cpu_ctx;cpu_minf;cpu_majf;r_io_bytes;r_bw;r_bw_min;r_bw_max;r_bw_mean;r_bw_dev;r_iops;r_runtime;r_min_lat;r_max_lat;r_mean_lat;r_stddev_lat;w_io_bytes;w_bw;w_bw_min;w_bw_max;w_bw_mean;w_bw_dev;w_iops;w_runtime;w_min_lat;w_max_lat;w_mean_lat;w_stddev_lat
3;0;100;8;23.83;4.84;25602;6;0;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0;204800;176704;171952;180640;176296.0;6143.34;22088;1159;11;738;44.29;6.79
4;0;100;8;25.58;4.15;25602;7;0;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0;204800;176856;168960;182704;175832.0;9718.48;22107;1158;39;1075;44.29;7.56
1;0;100;16;21.1;3.8;12802;6;0;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0;204800;215806;215680;215680;215680.0;0.0;13487;949;61;950;71.97;9.18
2;0;100;16;18.82;3.66;12802;6;0;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0;204800;267362;267136;267136;267136.0;0.0;16710;766;34;714;58.98;6.22
3;0;100;16;12.79;3.58;12803;7;0;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0;204800;261558;254752;254752;254752.0;0.0;16347;783;54;652;59.99;6.8
4;0;100;16;18.51;4.11;12802;6;0;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0;204800;262901;259424;259424;259424.0;0.0;16431;779;54;696;59.92;6.38
1;0;100;32;13.84;3.77;6402;6;0;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0;204800;321507;319232;319232;319232.0;0.0;10047;637;71;790;98.0;13.38
2;0;100;32;15.12;8.72;6404;6;0;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0;204800;297242;296128;296128;296128.0;0.0;9288;689;93;803;105.36;9.8
3;0;100;32;16.33;3.5;6403;6;0;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0;204800;298107;296704;296704;296704.0;0.0;9315;687;88;1020;104.94;13.07
4;0;100;32;14.6;7.01;6402;6;0;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0;204800;298542;296512;296512;296512.0;0.0;9329;686;90;924;104.9;12.67
1;0;100;64;8.32;1.51;3204;6;0;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0;204800;386415;387072;387072;387072.0;0.0;6037;530;152;1076;164.07;18.31
2;0;100;64;14.96;3.25;3202;7;0;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0;204800;332467;332288;332288;332288.0;0.0;5194;616;150;846;185.27;15.92
3;0;100;64;14.06;3.51;3203;6;0;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0;204800;359298;358784;358784;358784.0;0.0;5614;570;157;917;175.2;16.09
4;0;100;64;9.7;1.49;3202;6;0;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0;204800;381378;380928;380928;380928.0;0.0;5959;537;150;1048;165.93;17.76
1;0;100;128;7.17;4.78;1603;6;0;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0;204800;407157;407808;407808;407808.0;0.0;3180;503;300;1011;309.51;19.9
2;0;100;128;7.11;4.74;1602;6;0;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0;204800;403944;404224;404224;404224.0;0.0;3155;507;300;953;311.56;21.16
3;0;100;128;4.37;1.75;1603;6;0;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0;204800;446187;0;0;0.0;0.0;3485;459;275;1184;284.85;26.53
